nama,kalori,lemak,protein,karbohidrat,vitamin_c,vitamin_a
apple,52,0.2,0.3,14.0,4.6 mg,54 IU
banana,89,0.3,1.1,23.0,8.7 mg,64 IU
beetroot,43,0.2,1.6,10.0,3.6 mg,33 IU
bell pepper,31,0.3,1.0,6.0,80.4 mg,157 IU
cabbage,25,0.1,1.3,6.0,36.6 mg,98 IU
capsicum,40,0.2,1.5,9.0,120 mg,3131 IU
carrot,41,0.2,0.9,10.0,5.9 mg,16706 IU
cauliflower,25,0.3,1.9,5.0,48.2 mg,0 IU
chilli pepper,40,0.4,2.0,9.0,143.7 mg,952 IU
corn,96,1.5,3.4,21.0,6.8 mg,187 IU
cucumber,15,0.1,0.7,4.0,2.8 mg,105 IU
eggplant,25,0.2,1.0,6.0,2.2 mg,27 IU
garlic,149,0.5,6.4,33.0,31.2 mg,9 IU
ginger,80,0.8,1.8,18.0,5 mg,0 IU
grapes,69,0.2,0.7,18.0,10.8 mg,66 IU
jalepeno,29,0.4,0.9,6.0,118.6 mg,1078 IU
kiwi,61,0.5,1.1,15.0,92.7 mg,87 IU
lemon,29,0.3,1.1,9.0,53 mg,22 IU
lettuce,15,0.2,1.4,3.0,9.2 mg,7405 IU
mango,60,0.4,0.8,15.0,36.4 mg,1082 IU
onion,40,0.1,1.1,9.0,7.4 mg,2 IU
orange,47,0.1,0.9,12.0,53.2 mg,225 IU
paprika,39,0.4,1.6,9.0,120.3 mg,3131 IU
pear,57,0.1,0.4,15.0,4.3 mg,25 IU
peas,81,0.4,5.4,14.0,40 mg,765 IU
pineapple,50,0.1,0.5,13.0,47.8 mg,58 IU
pomegranate,83,1.2,1.7,19.0,10.2 mg,0 IU
potato,77,0.1,2.0,17.0,19.7 mg,2 IU
raddish,16,0.1,0.7,3.0,14.8 mg,7 IU
soy beans,446,20.0,36.0,30.0,6 mg,22 IU
spinach,23,0.4,2.9,3.6,28.1 mg,9377 IU
sweetcorn,86,1.2,3.2,19.0,5.5 mg,187 IU
sweetpotato,86,0.1,1.6,20.0,2.4 mg,14187 IU
tomato,18,0.2,0.9,3.9,13.7 mg,833 IU
turnip,28,0.1,0.9,6.4,21 mg,0 IU
watermelon,30,0.2,0.6,8.0,8.1 mg,569 IU
